"iso3","Rank","Country","WorldRiskIndex","Exposure","Vulnerability","Susceptibility","LackofCopingCapacities","LackofAdaptiveCapacities"
"VUT",1,"Vanuatu",36.31,63.66,57.04,34.17,81.19,55.78
"TON",2,"Tonga",28.62,55.27,51.78,27.91,81.31,46.11
"PHL",3,"Philippines",27.98,52.46,53.35,33.92,83.09,43.03
"GTM",4,"Guatemala",20.75,36.3,57.16,37.28,81.18,53.04
"BGD",5,"Bangladesh",20.22,31.7,63.78,43.47,86.84,61.03
"SLB",6,"Solomon Islands",18.15,29.98,60.55,43.96,84.26,53.42
"CRI",7,"Costa Rica",17.38,42.61,40.8,21.59,65.63,35.19
"KHM",8,"Cambodia",17.17,27.65,62.07,45.93,86.68,53.61
"TLS",9,"Timor-Leste",17.13,25.73,66.59,52.88,87.58,59.32
"SLV",10,"El Salvador",16.89,32.6,51.82,28.92,76.71,49.82
"BRN",11,"Brunei Darussalam",15.92,41.1,38.72,14.57,65.66,35.94
"PNG",12,"Papua New Guinea",15.81,24.94,63.38,49.03,84.85,56.27
"MUS",13,"Mauritius",15.39,37.35,41.21,18.99,62.04,42.6
"NIC",14,"Nicaragua",15.36,27.23,56.43,38.41,82.68,48.21
"FJI",15,"Fiji",13.69,27.71,49.4,26.19,75.32,46.67
"JPN",16,"Japan",13.53,45.91,29.46,16.52,36.31,35.56
"GNB",17,"Guinea-Bissau",13.34,19.65,67.88,55.49,88.48,59.68
"VNM",18,"Viet Nam",12.88,25.35,50.83,29.2,76.73,46.56
"CHL",19,"Chile",12.26,30.95,39.6,20.95,57.84,40.01
"JAM",20,"Jamaica",12.15,25.82,47.06,26.49,72.49,42.21
"HTI",21,"Haiti",11.96,16.26,73.54,62.7,90.43,67.48
"NER",22,"Niger",11.93,15.87,75.17,64.87,88.73,71.93
"GMB",23,"Gambia",11.84,19.29,61.41,44.4,82.19,57.63
"GUY",24,"Guyana",11.77,22.9,51.4,29.25,79.79,45.16
"DOM",25,"Dominican Republic",11.63,23.14,50.23,30,75.74,44.96
"CMR",26,"Cameroon",11.5,18.19,63.23,45.57,85.1,59.01
"BEN",27,"Benin",11.42,17.06,66.93,53.91,83.88,63
"TCD",28,"Chad",11.13,14.89,74.74,64.69,91.8,67.74
"SEN",29,"Senegal",11.08,17.57,63.07,46.97,82.47,59.76
"HND",30,"Honduras",11.02,20.01,55.09,36.19,81.68,47.4
"MDG",31,"Madagascar",10.96,16.03,68.37,64.39,83.07,57.66
"CPV",32,"Cape Verde",10.88,20.26,53.72,36.13,70.64,54.39
"IDN",33,"Indonesia",10.74,19.36,55.48,35.45,82.16,48.83
"TGO",34,"Togo",10.64,15.56,68.39,56.15,86.52,62.51
"SLE",35,"Sierra Leone",10.58,14.65,72.2,62.48,87.48,66.64
"BDI",36,"Burundi",10.49,15.13,69.32,61.99,89.53,56.44
"DJI",37,"Djibouti",9.96,16.34,60.98,40.34,82.94,59.66
"ALB",38,"Albania",9.96,21.25,46.89,20.73,74.67,45.26
"ZWE",39,"Zimbabwe",9.87,14.96,65.97,58.45,87.74,51.73
"AFG",40,"Afghanistan",9.79,13.17,74.32,56.63,92.07,74.26
"BFA",41,"Burkina Faso",9.74,14.32,68,54.81,84.86,64.32
"MMR",42,"Burma",9.15,14.87,61.57,36.7,89.82,58.18
"MOZ",43,"Mozambique",9.09,12.73,71.37,67.63,84.91,61.58
"CIV",44,"Cote d'Ivoire",9,13.67,65.84,47.34,88.55,61.64
"GHA",45,"Ghana",8.85,14.48,61.12,47.12,79.06,57.16
"MLI",46,"Mali",8.76,12.55,69.76,56.57,82.87,69.85
"UZB",47,"Uzbekistan",8.71,16.18,53.84,32.33,77.85,51.35
"SUR",48,"Suriname",8.62,18.12,47.6,30.01,73.27,39.53
"GIN",49,"Guinea",8.55,12.03,71.05,58.08,90.16,64.91
"KGZ",50,"Kyrgyzstan",8.5,16.63,51.1,27.54,77.79,47.98
"NLD",51,"Netherlands",8.49,30.57,27.76,13.89,39.14,30.26
"MRT",52,"Mauritania",8.43,12.47,67.55,49.04,86.54,67.07
"NGA",53,"Nigeria",8.28,12.06,68.7,55.46,88,62.63
"MWI",54,"Malawi",8.18,12.34,66.25,56.28,85.31,57.15
"BTN",55,"Bhutan",8.17,14.81,55.14,35.06,77.31,53.05
"DZA",56,"Algeria",8.15,15.82,51.48,22.5,78.46,53.48
"TZA",57,"United Republic of Tanzania",8.11,12.01,67.52,67.34,83.49,51.73
"ECU",58,"Ecuador",7.94,16.15,49.19,26.8,76.93,43.85
"SDN",59,"Sudan",7.88,11.86,66.45,52.44,91.7,55.22
"LBR",60,"Liberia",7.86,10.96,71.74,65.11,85.88,64.22
"SWZ",61,"Swaziland",7.84,12.76,61.41,47.48,82.07,54.69
"ETH",62,"Ethiopia",7.81,11.12,70.21,58.93,88.34,63.37
"LKA",63,"Sri Lanka",7.79,14.79,52.67,28.28,80.45,49.29
"PAN",64,"Panama",7.69,16.45,46.74,29.46,68.89,41.86
"TTO",65,"Trinidad and Tobago",7.68,17.54,43.77,18.87,70.58,41.88
"SRB",66,"Serbia",7.67,18.05,42.52,18.77,68.33,40.46
"RWA",67,"Rwanda",7.6,11.98,63.43,58.47,80.26,51.54
"COM",68,"Comoros",7.45,10.97,67.91,56.7,83.73,63.3
"ZMB",69,"Zambia",7.44,11.37,65.46,61.81,81.26,53.31
"TJK",70,"Tajikistan",7.4,12.98,56.99,37.25,76.31,57.42
"COG",71,"Congo",7.38,11.65,63.37,52.14,86.41,51.54
"GRC",72,"Greece",7.35,21.11,34.83,16.55,52.27,35.67
"IND",73,"India",7.28,11.94,60.95,40.88,81.78,60.18
"PAK",74,"Pakistan",7.25,11.36,63.86,38.84,87.39,65.35
"LSO",75,"Lesotho",7.22,11.4,63.33,50.87,81.83,57.3
"MAR",76,"Morocco",7.21,13.25,54.45,29.07,76.42,57.86
"PER",77,"Peru",7.18,14.4,49.84,30.81,74.93,43.77
"CHN",78,"China",7.05,14.43,48.83,28.58,71.53,46.39
"ARM",79,"Armenia",7.04,14.51,48.49,24.02,70.95,50.51
"KEN",80,"Kenya",6.96,10.69,65.09,52.9,86.56,55.8
"COL",81,"Colombia",6.89,13.84,49.8,29.73,76.89,42.76
"ROU",82,"Romania",6.78,15.77,42.99,22.06,63.95,42.95
"UGA",83,"Uganda",6.75,10.16,66.43,56.61,88.11,54.59
"GEO",84,"Georgia",6.75,14.69,45.94,24.17,65.46,48.18
"CAF",85,"Central African Republic",6.64,9.39,70.69,61.52,89.44,61.12
"BIH",86,"Bosnia and Herzegovina",6.63,14.02,47.31,19.47,73.88,48.58
"BLZ",87,"Belize",6.63,13.31,49.81,28.16,74.31,46.94
"AGO",88,"Angola",6.56,10.18,64.45,56.15,85.28,51.91
"CUB",89,"Cuba",6.55,17.45,37.54,19.2,58.95,34.48
"TKM",90,"Turkmenistan",6.55,13.19,49.65,24.02,76.23,48.71
"MYS",91,"Malaysia",6.53,14.6,44.74,20.87,70.3,43.04
"THA",92,"Thailand",6.44,13.7,47.03,21.96,76.42,42.72
"ERI",92,"Eritrea",6.44,8.55,75.35,66.62,86.76,72.68
"MEX",94,"Mexico",6.39,13.84,46.15,23.75,71.59,43.12
"MKD",95,"The former Yugoslav Republic of Macedonia",6.25,14.38,43.47,20.66,66.13,43.63
"GAB",96,"Gabon",6.2,11.95,51.9,33.01,81.54,41.14
"VEN",97,"Venezuela",6.13,13.15,46.62,23.44,74.59,41.84
"AZE",98,"Azerbaijan",6.1,13.16,46.34,22.86,67.61,48.54
"YEM",99,"Yemen",5.98,9.04,66.13,47.89,88.92,61.58
"TUN",100,"Tunisia",5.9,12.45,47.38,22.52,72.15,47.46
"ZAF",100,"South Africa",5.9,12.08,48.83,31.36,69.85,45.26
"HUN",102,"Hungary",5.87,15.61,37.61,16.18,55.28,41.38
"LAO",103,"Lao People's Dem. Republic",5.73,9.55,60.03,43.34,85.6,51.14
"NAM",104,"Namibia",5.72,10.41,54.96,46.26,72.11,46.51
"NPL",105,"Nepal",5.69,9.16,62.19,48.06,82.74,55.76
"SYR",106,"Syrian Arab Republic",5.68,10.56,53.81,27.35,80.19,53.88
"TUR",106,"Turkey",5.68,12.25,46.35,19.8,69.87,49.4
