iso3,Country,RefIDP(CI),NatDis,Conflicts,GNA Crisis Index,Tuberculosis Score,HIV Score,Malaria Score,"Prevalence of HIV, Tubercolosis and Malaria Score",Health expenditure Score,Vaccination Score,Physicians Score,Access to Health Services Score,Health Score,GII Score,GINI Score,Inequality Score,Inequality-Health,Refugees-IDP score (VI),RefIDP(VI),U5M Score,U5UW Score,U5,MPI Score,HDI Score,HDI-MPI,GNA Vulnerability Index,GNA Final Index
AFG,Afghanistan,2,1,3,3,3,0,1,2,3,3,2,3,2.5,1,1,1,1.75,4,2,3,3,3,,3,3,3,11.438
AGO,Angola,0,2,0,2,3,1,2,2,2,2,2,2,2,,3,3,2.5,2,1,3,2,2.5,,2,2,2,6.812
ALB,Albania,0,2,0,2,0,0,,0,1,1,2,1,0.5,3,1,2,1.25,0,0,1,1,1,1,1,1,1,7.312
ARG,Argentina,0,3,0,3,1,1,0,1,1,2,1,1,1,3,2,2.5,1.75,1,0.5,1,1,1,1,0,0.5,1,8
ARM,Armenia,0,0,0,0,2,1,1,2,2,2,1,2,2,3,1,2,2,2,1,2,1,1.5,1,1,1,2,0.5
ATG,Antigua and Barbuda,0,0,0,0,0,1,,1,1,1,,1,1,,,,1,0,0,0,,0,,1,1,1,9.938
AZE,Azerbaijan,3,0,0,3,2,0,1,1,2,3,1,2,1.5,3,1,2,1.75,5,2.5,2,1,1.5,2,1,1.5,2,1.375
BDI,Burundi,2,0,0,2,2,1,2,2,3,2,3,3,2.5,2,1,1.5,2,4,2,3,3,3,3,3,3,3,10.812
BEN,Benin,0,0,0,0,2,1,3,2,3,3,3,3,2.5,1,2,1.5,2,1,0.5,3,3,3,3,3,3,3,10.812
BFA,Burkina Faso,0,2,0,2,2,1,3,2,3,3,3,3,2.5,1,2,1.5,2,2,1,3,3,3,3,3,3,3,1.062
BGD,Bangladesh,0,3,0,3,3,0,1,2,3,2,2,2,2,2,1,1.5,1.75,2,1,2,3,2.5,2,2,2,2,0.812
BIH,Bosnia and Herzegovina,3,0,0,3,2,0,,1,1,2,1,1,1,,2,2,1.5,5,2.5,0,1,0.5,1,1,1,2,1.375
BLR,Belarus,0,0,0,0,2,1,,2,1,1,1,1,1.5,,1,1,1.25,1,0.5,0,1,0.5,1,1,1,1,2.125
BLZ,Belize,0,0,0,0,1,1,1,2,2,1,2,2,2,2,,2,2,1,0.5,2,1,1.5,2,1,1.5,2,1.5
BOL,Bolivia,0,3,0,3,2,1,1,2,2,2,2,2,2,2,3,2.5,2.25,1,0.5,2,1,1.5,2,1,1.5,2,10.438
BRA,Brazil,0,0,2,2,1,1,1,2,1,2,1,1,1.5,2,3,2.5,2,0,0,2,1,1.5,1,1,1,1,10.375
BRB,Barbados,0,0,0,0,,1,,2,1,2,1,1,1.5,3,,3,2.25,0,0,2,,2,,0,0,1,1.812
BTN,Bhutan,0,0,0,0,2,1,1,2,2,2,3,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,7.125
BWA,Botswana,0,0,0,0,3,3,1,3,1,2,2,2,2.5,2,,2,2.25,2,1,2,2,2,,2,2,2,8.25
CAF,Central African Republic,3,0,3,3,3,1,2,2,3,3,3,3,2.5,1,3,2,2.25,5,2.5,3,3,3,,3,3,3,8.5
CHL,Chile,0,0,0,0,1,1,,2,1,2,2,2,2,3,3,3,2.5,1,0.5,0,1,0.5,,0,0,1,4.625
CHN,China (w/out HongKong),0,2,0,2,2,0,1,1,2,1,2,2,1.5,3,2,2.5,2,1,0.5,1,1,1,2,1,1.5,2,1.938
CIV,Cote d Ivoire,0,0,1,1,2,1,2,2,2,3,2,2,2,1,2,1.5,1.75,3,1.5,3,3,3,3,3,3,3,1.625
CMR,Cameroon,0,0,0,0,2,1,3,2,2,2,3,2,2,1,2,1.5,1.75,2,1,3,2,2.5,2,3,2.5,2,11.688
COD,"Congo, Democratic Republic of the",3,0,3,3,3,1,3,3,3,3,3,3,3,1,2,1.5,2.25,5,2.5,3,3,3,3,3,3,3,11.688
COG,"Congo, Rep. Of",2,0,0,2,3,1,3,3,3,2,3,3,3,1,2,1.5,2.25,4,2,3,2,2.5,2,2,2,3,0.875
