Country,Region,Natural,Human,Hazard,Poverty,Livelihood,Dependency,Environment,Vulnerability,Institutional,Economic,Infrastructure,Capacity,Risk,Humanitarian,Modifier,Humanitarian,Focus
DR of the Congo,ROWCA,4.5,8.4,6.5,10.0,9.3,8.2,7.9,9.2,7.3,7.8,7.7,7.6,7.7,9.9,8.7,8.0,8.0
Afghanistan,ROMENA,5.7,9.4,7.6,9.9,8.5,3.8,8.3,7.8,7.7,6.6,7.6,7.3,7.6,9.9,8.7,8.6,7.8
Somalia,ROCEA,2.7,8.7,5.7,10.0,8.3,6.1,9.4,8.4,7.9,7.9,8.7,8.2,7.4,9.6,6.2,3.8,7.6
South Sudan,ROCEA,3.1,8.5,5.8,9.9,7.6,7.5,8.8,8.4,7.8,7.3,7.5,7.5,7.3,9.9,9.7,9.8,7.5
Sudan,ROCEA,3.3,8.5,5.9,8.9,8.0,8.4,8.8,8.4,7.8,7.3,6.8,7.3,7.2,9.9,0.2,0.4,7.5
Pakistan,ROMENA,7.2,9.1,8.2,9.1,7.3,6.7,5.8,7.7,6.2,6.0,6.3,6.2,7.3,7.7,,,7.4
Yemen,ROMENA,2.6,8.5,5.6,8.3,7.7,7.3,8.8,7.9,8.2,7.1,8.1,7.8,7.1,9.9,9.7,3.1,7.4
Central African Republic,ROWCA,2.5,7.7,5.1,9.9,8.6,6.2,7.3,8.4,7.8,7.4,7.9,7.7,7.1,9.9,8.7,9.4,7.3
Myanmar,ROAP,8.6,7.3,7.9,7.7,7.5,2.7,4.4,6.2,8.1,6.6,6.2,7.0,7.0,9.9,6.2,9.1,7.3
Ethiopia,ROCEA,5.2,7.3,6.3,9.0,8.4,6.2,8.5,8.0,5.7,6.7,8.8,7.1,7.1,8.8,6.2,5.7,7.3
Chad,ROWCA,3.5,5.6,4.5,9.9,8.9,6.4,8.6,8.6,7.7,7.5,8.0,7.7,7.0,9.6,4.6,5.4,7.2
C™te d'Ivoire,ROWCA,3.2,8.3,5.7,9.7,6.8,6.2,6.8,7.7,6.7,6.5,5.8,6.3,6.6,9.9,3.1,6.1,6.9
Iraq,ROMENA,4.1,8.5,6.3,5.7,6.1,8.3,6.0,6.5,8.2,7.1,4.2,6.5,6.4,9.9,1.0,1.3,6.8
Haiti,ROLAC,6.5,5.8,6.2,9.1,8.3,1.7,7.8,6.9,6.7,7.2,5.2,6.4,6.5,9.6,1.0,8.0,6.8
Mali,ROWCA,3.3,7.0,5.1,9.9,7.0,5.6,8.5,7.7,4.6,7.7,7.0,6.4,6.4,9.9,,,6.8
Burundi,ROCEA,3.1,7.2,5.2,9.7,8.6,5.6,6.9,8.1,7.6,7.5,5.8,7.0,6.8,5.6,3.1,6.1,6.6
Kenya,ROCEA,3.8,6.6,5.2,8.1,8.2,6.3,8.2,7.7,4.8,6.3,6.6,5.9,6.3,9.9,6.2,5.7,6.6
Nepal,ROAP,7.0,5.2,6.1,6.9,6.9,5.2,5.9,6.4,5.8,5.9,7.0,6.2,6.2,8.8,,,6.5
Guinea,ROWCA,3.2,6.0,4.6,9.5,7.0,4.6,7.3,7.3,6.7,7.5,6.3,6.8,6.2,8.5,9.7,9.6,6.5
Zimbabwe,ROSA,2.1,5.8,4.0,7.8,8.0,6.3,6.8,7.4,7.2,7.6,5.4,6.7,6.0,9.9,,,6.4
Bangladesh,ROAP,8.7,6.3,7.5,6.6,7.2,4.6,6.1,6.3,6.0,5.9,5.4,5.8,6.5,5.5,0.2,4.5,6.4
Nigeria,ROWCA,4.4,8.1,6.3,9.7,5.7,3.5,8.0,6.7,6.5,6.5,6.4,6.4,6.5,5.2,1.8,3.9,6.3
