ISO3,Country,Social-Economics Vulnerability Index,Vulnerable Groups Index,Vulnerability Index,Human Hazard Index,Natural Hazard Index,Hazard Index,Institutional Capacity Index,Infrastructure Capacity Index,Coping Capacity Index,InfoRM Risk Index
AFG,Afghanistan,6.392,4.575,5.557,8.131,5.089,6.875,7.825,8.86,8.391,7.111
ALB,Albania,2.385,0.329,1.411,1.057,5.227,3.42,6.124,4.638,5.429,3.599
DZA,Algeria,3.465,0.812,2.237,5.544,4.325,4.965,4.848,5.193,5.023,4.186
AGO,Angola,6.496,4.245,5.482,6.42,2.653,4.812,6.574,7.437,7.028,5.86
ATG,Antigua and Barbuda,3.598,0.11,2.02,1.21,5.866,3.905,4.616,1.849,3.355,3.131
ARG,Argentina,2.2,5.071,3.775,2.329,4.153,3.294,4.856,2.16,3.628,3.568
ARM,Armenia,2.409,0.606,1.55,3.439,4.211,3.836,6.726,4.863,5.876,3.97
AUS,Australia,0.711,0.335,0.525,0.393,3.604,2.141,1.864,1.626,1.746,1.494
AUT,Austria,1.051,0.274,0.67,0.096,3.579,2.003,2.165,2.601,2.386,1.714
AZE,Azerbaijan,2.924,3.663,3.302,4.03,5.215,4.649,6.982,5.208,6.174,4.819
BHS,Bahamas,2.853,2.405,2.632,7.597,6.214,6.963,2.879,2.691,2.785,4.47
BHR,Bahrain,2.705,0.22,1.543,3.624,0.452,2.178,3.74,3.591,3.666,2.51
BGD,Bangladesh,3.772,6.401,5.232,4.207,9.358,7.632,4.979,6.515,5.802,6.34
BRB,Barbados,2.482,1.17,1.849,2.121,5.901,4.267,2.292,2.397,2.345,2.89
BLR,Belarus,1.567,1.06,1.317,2.497,3.102,2.805,5.104,2.663,3.988,2.774
BEL,Belgium,1.49,0.209,0.869,1.16,2.855,2.047,2.16,2.478,2.321,1.766
BLZ,Belize,3.671,1.461,2.638,7.597,6.249,6.978,5.878,4.856,5.39,5.259
BEN,Benin,5.268,4.673,4.978,3.617,4.936,4.308,6.205,8.158,7.305,5.696
BTN,Bhutan,4.498,1.271,3.044,1.459,5.124,3.51,5.328,6.001,5.675,4.177
BOL,Bolivia,4.291,5.391,4.865,4.477,3.368,3.944,5.938,5.672,5.807,4.919
BIH,Bosnia and Herzegovina,2.609,2.079,2.348,1.508,3.382,2.496,6.127,4.243,5.261,3.495
BWA,Botswana,4.897,3.609,4.283,2.864,2.485,2.677,3.949,5.49,4.766,3.962
BRA,Brazil,2.937,0.873,1.963,6.444,4.064,5.376,4.723,3.098,3.956,3.898
BRN,Brunei,2.582,0.475,1.586,0.092,1.053,0.583,4.641,4.323,4.484,2.385
BGR,Bulgaria,2.02,0.236,1.168,0.605,3.108,1.942,4.179,3.155,3.685,2.33
BFA,Burkina Faso,6.151,4.091,5.21,4.699,3.211,3.994,4.631,8.729,7.182,5.626
BDI,Burundi,5.706,4.946,5.338,5.316,2.815,4.178,6.425,6.717,6.573,5.448
KHM,Cambodia,4.309,6.161,5.308,3.98,8.609,6.887,7.154,7.051,7.103,6.497
CMR,Cameroon,4.595,3.868,4.241,4.091,3.817,3.955,7.084,7.499,7.297,5.388
CAN,Canada,1.018,2.136,1.593,0.176,4.916,2.881,2.072,1.831,1.952,2.159
CPV,Cap Verde,6.243,1.069,4.12,2.25,1.213,1.746,4.136,5.27,4.728,3.634
CAF,Central African Republic,7.015,8.586,7.895,9.053,2.574,6.919,7.659,8.703,8.228,7.724
TCD,Chad,5.277,8.14,6.948,7.652,3.871,6.106,8.05,9.763,9.08,7.626
CHL,Chile,3.143,0.394,1.87,3.07,8.194,6.268,2.924,3.663,3.302,4.067
CHN,China (w/out HongKong),2.17,3.937,3.102,3.283,8.24,6.371,3.964,3.629,3.798,4.587
COL,Colombia,3.439,5.211,4.383,8.259,4.902,6.903,4.237,4.579,4.41,5.365
COM,Comoros,7.198,2.117,5.178,3.892,2.611,3.277,7.77,6.93,7.373,5.531
COD,"Congo, Democratic Republic of the",6.568,8.055,7.385,9.111,4.08,7.361,8.171,8.324,8.249,7.691
COG,"Congo, Rep. Of",6.051,5.321,5.698,7.029,2.595,5.215,7.435,7.444,7.44,6.218
CRI,Costa Rica,3.341,0.426,1.999,1.271,7.259,4.954,2.866,3.893,3.396,3.547
CIV,Cote d Ivoire,5.426,4.694,5.071,8.12,3.382,6.303,7.23,8.229,7.766,6.514
HRV,Croatia,1.521,0.125,0.847,1.083,3.009,2.098,3.54,3.628,3.584,2.248
CUB,Cuba,2.638,0.189,1.491,1.268,8.022,5.597,3.922,3.023,3.486,3.715
CYP,Cyprus,1.321,0.019,0.69,1.97,2.247,2.109,2.704,3.553,3.14,2.035
CZE,Czech Republic,1.263,0.123,0.709,0.223,3.281,1.878,3.274,2.396,2.847,1.852
DNK,Denmark,0.759,0.146,0.457,0.795,2.195,1.521,0.836,3,1.982,1.34
DJI,Djibouti,5.24,3.584,4.463,2.629,2.396,2.513,6.366,6.634,6.502,4.7
DMA,Dominica,4.056,0.27,2.365,4.767,5.9,5.361,3.945,3.242,3.602,3.883
DOM,Dominican Republic,3.032,0.697,1.938,5.069,8.199,6.916,5.346,4.712,5.037,4.951
TLS,East Timor,4.975,4.732,4.854,4.549,4.904,4.729,5.746,8.369,7.276,5.761
ECU,Ecuador,3.21,1.126,2.229,5.577,7.695,6.763,4.641,3.589,4.135,4.653
EGY,Egypt,2.534,0.81,1.711,4.11,4.215,4.163,5.145,4.229,4.703,3.631
SLV,El Salvador,3.832,1.241,2.635,7.331,8.276,7.838,5.089,4.516,4.809,5.519
GNQ,Equatorial Guinea ,5.289,4.351,4.837,5.06,2.139,3.743,8.178,6.531,7.446,5.578
ERI,Eritrea,6.361,2.691,4.787,4.61,1.978,3.406,7.618,7.51,7.564,5.541
EST,Estonia,1.911,0.91,1.423,1.25,1.815,1.537,3.076,3.552,3.317,2.136
ETH,Ethiopia,4.387,6.297,5.421,7.701,3.812,6.122,4.454,9.547,7.884,6.603
FJI,Fiji,3.74,0.344,2.202,2.674,7.625,5.688,5.94,4.848,5.42,4.608
